# energy dos
-1.577599999999999980e+01 3.738000000000000211e-01
-1.573450000000000060e+01 3.733000000000000207e-01
-1.569310000000000116e+01 3.723000000000000198e-01
-1.565160000000000018e+01 3.714000000000000079e-01
-1.561009999999999920e+01 3.708000000000000185e-01
-1.556859999999999999e+01 3.705999999999999850e-01
-1.552720000000000056e+01 3.708000000000000185e-01
-1.548570000000000135e+01 3.713000000000000189e-01
-1.544420000000000037e+01 3.721999999999999753e-01
-1.540279999999999916e+01 3.734000000000000097e-01
-1.536129999999999995e+01 3.750000000000000000e-01
-1.531980000000000075e+01 5.836000000000000076e-01
-1.527829999999999977e+01 6.071999999999999620e-01
-1.523690000000000033e+01 4.430000000000000049e-01
-1.519539999999999935e+01 4.003999999999999782e-01
-1.515390000000000015e+01 3.932999999999999829e-01
-1.511240000000000094e+01 3.865000000000000102e-01
-1.507099999999999973e+01 3.799000000000000155e-01
-1.502950000000000053e+01 3.735999999999999877e-01
-1.498799999999999955e+01 3.674000000000000044e-01
-1.494650000000000034e+01 3.615999999999999770e-01
-1.490510000000000090e+01 3.558999999999999941e-01
-1.486359999999999992e+01 3.509999999999999787e-01
-1.482209999999999894e+01 3.462999999999999967e-01
-1.478069999999999951e+01 3.418999999999999817e-01
-1.473920000000000030e+01 3.376000000000000112e-01
-1.469770000000000110e+01 3.336000000000000076e-01
-1.465620000000000012e+01 3.296999999999999931e-01
-1.461479999999999890e+01 3.261000000000000010e-01
-1.457329999999999970e+01 3.226999999999999869e-01
-1.453180000000000049e+01 3.194000000000000172e-01
-1.449030000000000129e+01 3.164000000000000146e-01
-1.444890000000000008e+01 3.135999999999999899e-01
-1.440739999999999910e+01 3.109000000000000097e-01
-1.436589999999999989e+01 3.084999999999999964e-01
-1.432440000000000069e+01 3.063000000000000167e-01
-1.428300000000000125e+01 3.068000000000000171e-01
-1.424150000000000027e+01 3.095999999999999863e-01
-1.419999999999999929e+01 3.119000000000000106e-01
-1.415859999999999985e+01 3.136999999999999789e-01
-1.411710000000000065e+01 3.150000000000000022e-01
-1.407559999999999967e+01 3.156999999999999806e-01
-1.403410000000000046e+01 3.160000000000000031e-01
-1.399269999999999925e+01 3.163000000000000256e-01
-1.395120000000000005e+01 3.159000000000000141e-01
-1.390970000000000084e+01 3.148000000000000242e-01
-1.386819999999999986e+01 3.131999999999999784e-01
-1.382680000000000042e+01 3.108000000000000207e-01
-1.378529999999999944e+01 3.078000000000000180e-01
-1.374380000000000024e+01 3.040999999999999814e-01
-1.370230000000000103e+01 2.998000000000000109e-01
-1.366089999999999982e+01 2.948000000000000065e-01
-1.361940000000000062e+01 2.891000000000000236e-01
-1.357789999999999964e+01 2.827999999999999958e-01
-1.353650000000000020e+01 2.758999999999999786e-01
-1.349500000000000099e+01 2.681999999999999940e-01
-1.345350000000000001e+01 2.599000000000000199e-01
-1.341199999999999903e+01 2.510000000000000009e-01
-1.337059999999999960e+01 2.414000000000000035e-01
-1.332910000000000039e+01 2.310999999999999999e-01
-1.328760000000000119e+01 2.202000000000000068e-01
-1.324610000000000021e+01 2.086000000000000076e-01
-1.320469999999999899e+01 1.963999999999999913e-01
-1.316319999999999979e+01 1.834999999999999964e-01
-1.312170000000000059e+01 1.698999999999999955e-01
-1.308030000000000115e+01 1.557000000000000051e-01
-1.303880000000000017e+01 1.408000000000000085e-01
-1.299729999999999919e+01 1.252000000000000057e-01
-1.295579999999999998e+01 5.870000000000000218e-02
-1.291440000000000055e+01 4.730000000000000177e-02
-1.287289999999999957e+01 3.699999999999999817e-02
-1.283140000000000036e+01 2.790000000000000119e-02
-1.278989999999999938e+01 1.990000000000000102e-02
-1.274849999999999994e+01 1.310000000000000053e-02
-1.270700000000000074e+01 7.400000000000000328e-03
-1.266549999999999976e+01 1.969999999999999876e-02
-1.262400000000000055e+01 4.710000000000000298e-02
-1.258259999999999934e+01 7.370000000000000162e-02
-1.254110000000000014e+01 9.679999999999999716e-02
-1.249960000000000093e+01 1.164000000000000035e-01
-1.245819999999999972e+01 1.325000000000000067e-01
-1.241670000000000051e+01 1.451000000000000068e-01
-1.237519999999999953e+01 1.549000000000000099e-01
-1.233370000000000033e+01 1.638999999999999901e-01
-1.229230000000000089e+01 1.700000000000000122e-01
-1.225079999999999991e+01 1.733999999999999986e-01
-1.220930000000000071e+01 1.738999999999999990e-01
-1.216779999999999973e+01 1.716999999999999915e-01
-1.212640000000000029e+01 1.729999999999999871e-01
-1.208490000000000109e+01 1.875999999999999890e-01
-1.204340000000000011e+01 2.031000000000000028e-01
-1.200189999999999912e+01 2.195999999999999897e-01
-1.196049999999999969e+01 2.369999999999999885e-01
-1.191900000000000048e+01 2.554000000000000159e-01
-1.187749999999999950e+01 2.746999999999999997e-01
-1.183610000000000007e+01 2.949999999999999845e-01
-1.179459999999999908e+01 3.160999999999999921e-01
-1.175309999999999988e+01 3.382999999999999896e-01
-1.171160000000000068e+01 3.613000000000000100e-01
-1.167019999999999946e+01 3.852999999999999758e-01
-1.162870000000000026e+01 4.102999999999999980e-01
-1.158719999999999928e+01 4.253000000000000114e-01
