#k-distance eigenvalue[eV]
1.50267613 -4.58650000
1.55659615 -4.43200000
1.61051616 -4.20090000
1.66443618 -3.91790000
1.71835619 -3.60900000
1.77227621 -3.31230000
1.82619622 -3.10020000
1.88011624 -3.02590000
1.93403625 -3.04020000
1.98795624 -3.10190000
2.04187626 -3.18090000
2.09579627 -3.26130000
2.14971629 -3.33410000
2.20363630 -3.39390000
2.25755632 -3.34690000
2.31147633 -3.24670000
2.36539635 -3.17060000
2.41931636 -3.12610000
2.47323638 -3.12150000

0.00000000 -3.08010000
0.03773015 -3.07540000
0.07546030 -3.06110000
0.11319045 -3.02410000
0.15092061 -2.95400000
0.18865076 -2.86980000
0.22638091 -2.77510000
0.26411106 -2.67310000
0.30184121 -2.56720000
0.33957136 -2.46120000
0.37730150 -2.35980000
0.41503165 -2.26890000
0.45276181 -2.19610000
0.49049196 -2.14980000
0.52822211 -2.13600000
0.56595226 -2.14390000
0.60368241 -2.04320000
0.64141256 -1.94570000
0.67914272 -1.85410000
0.71687287 -1.77100000
0.71687287 -1.77100000
0.75539304 -1.81760000
0.79391321 -1.93880000
0.83243338 -2.09240000
0.87095355 -2.22350000
0.90947373 -2.29440000
0.94799390 -2.32710000
0.98651407 -2.35010000
1.02503424 -2.37860000
1.06355441 -2.42350000
1.10207457 -2.49410000
1.14059474 -2.59400000
1.17911491 -2.71780000
1.21763509 -2.85310000
1.25615526 -2.98730000
1.29467543 -3.11030000
1.33319560 -3.21400000
1.37171577 -3.29270000
1.41023595 -3.34170000
1.44875612 -3.35840000
1.44875612 -3.35840000
1.50267613 -3.35060000
1.55659615 -3.32740000
1.61051616 -3.28910000
1.66443618 -3.23640000
1.71835619 -3.17020000
1.77227621 -3.09080000
1.82619622 -2.98960000
1.88011624 -2.87040000
1.93403625 -2.75990000
1.98795624 -2.64610000
2.04187626 -2.52830000
2.09579627 -2.41000000
2.14971629 -2.29500000
2.20363630 -2.19820000
2.25755632 -2.46930000
2.31147633 -2.71890000
2.36539635 -2.91930000
2.41931636 -3.04640000
2.47323638 -3.08010000

0.00000000 -1.89440000
0.03773015 -1.89110000
0.07546030 -1.88130000
0.11319045 -1.86520000
0.15092061 -1.84330000
0.18865076 -1.81610000
0.22638091 -1.78450000
0.26411106 -1.74950000
0.30184121 -1.71250000
0.33957136 -1.67500000
0.37730150 -1.63920000
0.41503165 -1.60730000
0.45276181 -1.58210000
0.49049196 -1.56610000
0.52822211 -1.56220000
0.56595226 -1.57270000
0.60368241 -1.59890000
0.64141256 -1.64140000
0.67914272 -1.69930000
0.71687287 -1.77100000
0.71687287 -1.77100000
0.75539304 -1.81760000
0.79391321 -1.93880000
0.83243338 -2.09240000
0.87095355 -2.22350000
0.90947373 -2.29440000
0.94799390 -2.32710000
0.98651407 -2.35010000
1.02503424 -2.37860000
1.06355441 -2.42350000
1.10207457 -2.49410000
1.14059474 -2.59400000
1.17911491 -2.71780000
1.21763509 -2.85310000
1.25615526 -2.98730000
1.29467543 -3.11030000
1.33319560 -3.21400000
1.37171577 -3.29270000
1.41023595 -3.34170000
1.44875612 -3.35840000
1.44875612 -3.35840000
1.50267613 -3.30510000
1.55659615 -3.15600000
1.61051616 -2.93670000
1.66443618 -2.67810000
1.71835619 -2.41410000
1.77227621 -2.17880000
1.82619622 -1.99150000
1.88011624 -1.84950000
1.93403625 -1.74510000
1.98795624 -1.68050000
2.04187626 -1.67410000
2.09579627 -1.75760000
2.14971629 -1.94400000
2.20363630 -2.18750000
2.25755632 -2.09180000
2.31147633 -2.01180000
2.36539635 -1.95150000
2.41931636 -1.91320000
2.47323638 -1.89440000

0.00000000 -1.88760000
0.03773015 -1.86970000
0.07546030 -1.81760000
0.11319045 -1.73520000
0.15092061 -1.62800000
0.18865076 -1.50110000
0.22638091 -1.35950000
0.26411106 -1.20700000
0.30184121 -1.04690000
0.33957136 -0.89440000
0.37730150 -0.93730000
0.41503165 -0.97210000
0.45276181 -0.99070000
0.49049196 -0.98370000
0.52822211 -0.94420000
0.56595226 -0.87050000
0.60368241 -0.76670000
0.64141256 -0.63980000
0.67914272 -0.49740000
0.71687287 -0.34740000
0.71687287 -0.34740000
0.75539304 -0.33280000
0.79391321 -0.31710000
0.83243338 -0.35390000
0.87095355 -0.46730000
0.90947373 -0.63990000
0.94799390 -0.84280000
0.98651407 -1.05340000
1.02503424 -1.25490000
1.06355441 -1.43310000
1.10207457 -1.57590000
1.14059474 -1.67700000
1.17911491 -1.74000000
1.21763509 -1.77470000
1.25615526 -1.79150000
1.29467543 -1.79790000
1.33319560 -1.79900000
1.37171577 -1.79790000
1.41023595 -1.79660000
1.44875612 -1.79610000
1.44875612 -1.79610000
1.50267613 -1.80940000
1.55659615 -1.84780000
1.61051616 -1.90570000
1.66443618 -1.97370000
1.71835619 -2.03500000
1.77227621 -2.05780000
1.82619622 -1.98440000
1.88011624 -1.76600000
1.93403625 -1.43950000
1.98795624 -1.08660000
2.04187626 -0.79330000
2.09579627 -0.65660000
2.14971629 -0.72360000
2.20363630 -0.93330000
2.25755632 -1.19810000
2.31147633 -1.45960000
2.36539635 -1.67970000
2.41931636 -1.82880000
2.47323638 -1.88760000

0.00000000 -0.66300000
0.03773015 -0.66570000
0.07546030 -0.67390000
0.11319045 -0.68800000
0.15092061 -0.70820000
0.18865076 -0.73470000
0.22638091 -0.76760000
0.26411106 -0.80620000
0.30184121 -0.84930000
0.33957136 -0.88170000
0.37730150 -0.71400000
0.41503165 -0.54610000
0.45276181 -0.38190000
0.49049196 -0.22740000
0.52822211 -0.09500000
0.56595226 -0.00870000
0.60368241 0.00000000
0.64141256 -0.07430000
0.67914272 -0.20040000
0.71687287 -0.34740000
0.71687287 -0.34740000
0.75539304 -0.33280000
0.79391321 -0.31710000
0.83243338 -0.35390000
0.87095355 -0.46730000
0.90947373 -0.63990000
0.94799390 -0.84280000
0.98651407 -1.05340000
1.02503424 -1.25490000
1.06355441 -1.43310000
1.10207457 -1.57590000
1.14059474 -1.67700000
1.17911491 -1.74000000
1.21763509 -1.77470000
1.25615526 -1.79150000
1.29467543 -1.79790000
1.33319560 -1.79900000
1.37171577 -1.79790000
1.41023595 -1.79660000
1.44875612 -1.79610000
1.44875612 -1.79610000
1.50267613 -1.78420000
1.55659615 -1.74770000
1.61051616 -1.68270000
1.66443618 -1.58100000
1.71835619 -1.42870000
1.77227621 -1.21110000
1.82619622 -0.93420000
1.88011624 -0.64270000
1.93403625 -0.42460000
1.98795624 -0.37970000
2.04187626 -0.49130000
2.09579627 -0.63110000
