  #K-Path    Energy        Sn        Se
# NKPTS & NBANDS:  60  14
# Band-Index    1
    0.075   -5.7992     0.524     0.278
    0.038   -5.7611     0.522     0.280
    0.000   -5.7483     0.522     0.280
 
# Band-Index    5
    0.000   -3.8872     0.372     0.228
    0.038   -3.8881     0.368     0.230
    0.075   -3.8896     0.358     0.236
    0.113   -3.8892     0.344     0.244
    0.151   -3.8838     0.326     0.252
    0.189   -3.8709     0.312     0.262
    0.226   -3.8489     0.296     0.272
    0.264   -3.8171     0.284     0.280
    0.302   -3.7755     0.274     0.288
    0.340   -3.7244     0.264     0.296
    0.377   -3.6644     0.256     0.304
    0.415   -3.5961     0.250     0.312
    0.453   -3.5203     0.242     0.320
    0.490   -3.4379     0.236     0.328
    0.528   -3.3497     0.230     0.336
    0.566   -3.2568     0.224     0.346
    0.604   -3.1605     0.218     0.356
    0.641   -3.0620     0.210     0.366
    0.679   -2.9631     0.202     0.378
    0.717   -2.8662     0.195     0.390
    0.717   -2.8662     0.195     0.390
    0.755   -2.8691     0.194     0.389
    0.794   -2.8804     0.192     0.392
    0.832   -2.9117     0.188     0.393
    0.871   -2.9932     0.188     0.388
    0.909   -3.1479     0.199     0.371
    0.948   -3.3462     0.215     0.351
    0.987   -3.5570     0.228     0.333
    1.025   -3.7665     0.239     0.318
    1.064   -3.9681     0.247     0.305
    1.102   -4.1582     0.254     0.294
    1.141   -4.3344     0.261     0.284
    1.179   -4.4947     0.265     0.277
    1.218   -4.6377     0.267     0.270
    1.256   -4.7621     0.269     0.264
    1.295   -4.8665     0.269     0.260
    1.333   -4.9498     0.269     0.257
    1.372   -5.0106     0.267     0.257
    1.410   -5.0477     0.266     0.255
    1.449   -5.0601     0.265     0.255
    1.449   -5.0601     0.265     0.255
    1.503   -5.0605     0.262     0.256
    1.557   -5.0566     0.256     0.260
    1.611   -5.0395     0.248     0.264
    1.664   -5.0037     0.244     0.268
    1.718   -4.9477     0.240     0.272
    1.772   -4.8726     0.236     0.276
    1.826   -4.7802     0.234     0.280
    1.880   -4.6730     0.232     0.286
    1.934   -4.5534     0.230     0.292
    1.988   -4.4243     0.228     0.300
    2.042   -4.2888     0.226     0.308
    2.096   -4.1505     0.224     0.316
    2.150   -4.0138     0.220     0.324
    2.204   -3.8837     0.218     0.334
    2.258   -3.8558     0.308     0.266
    2.311   -3.8811     0.326     0.254
    2.365   -3.8901     0.346     0.242
    2.419   -3.8891     0.364     0.232
    2.473   -3.8872     0.372     0.228
 
# Band-Index    6
    2.473   -3.5401     0.208     0.356
    2.419   -3.5448     0.208     0.360
    2.365   -3.5893     0.210     0.358
    2.311   -3.6654     0.212     0.350
    2.258   -3.7656     0.214     0.342
    2.204   -3.8126     0.292     0.278
    2.150   -3.7528     0.278     0.288
    2.096   -3.6800     0.266     0.300
    2.042   -3.5996     0.256     0.314
    1.988   -3.5205     0.244     0.328
    1.934   -3.4589     0.232     0.342
    1.880   -3.4446     0.220     0.352
    1.826   -3.5189     0.220     0.342
    1.772   -3.7310     0.258     0.310
    1.718   -4.0277     0.284     0.284
    1.664   -4.3366     0.296     0.266
    1.611   -4.6196     0.294     0.256
    1.557   -4.8506     0.284     0.254
    1.503   -5.0052     0.272     0.254
    1.449   -5.0601     0.265     0.255
    1.449   -5.0601     0.265     0.255
    1.410   -5.0477     0.266     0.255
    1.372   -5.0106     0.267     0.257
    1.333   -4.9498     0.269     0.257
    1.295   -4.8665     0.269     0.260
    1.256   -4.7621     0.269     0.264
    1.218   -4.6377     0.267     0.270
    1.179   -4.4947     0.265     0.277
    1.141   -4.3344     0.261     0.284
    1.102   -4.1582     0.254     0.294
    1.064   -3.9681     0.247     0.305
    1.025   -3.7665     0.239     0.318
    0.987   -3.5570     0.228     0.333
    0.948   -3.3462     0.215     0.351
    0.909   -3.1479     0.199     0.371
    0.871   -2.9932     0.188     0.388
    0.832   -2.9117     0.188     0.393
    0.794   -2.8804     0.192     0.392
    0.755   -2.8691     0.194     0.389
    0.717   -2.8662     0.195     0.390
    0.717   -2.8662     0.195     0.390
    0.679   -2.7741     0.186     0.402
    0.641   -2.6908     0.178     0.412
    0.604   -2.6219     0.170     0.422
    0.566   -2.5741     0.164     0.428
    0.528   -2.6643     0.158     0.430
    0.490   -2.7649     0.166     0.420
    0.453   -2.8628     0.174     0.412
    0.415   -2.9565     0.182     0.404
    0.377   -3.0450     0.188     0.398
    0.340   -3.1273     0.192     0.392
    0.302   -3.2026     0.198     0.386
    0.264   -3.2703     0.202     0.382
    0.226   -3.3298     0.204     0.378
    0.189   -3.3808     0.206     0.374
    0.151   -3.4230     0.210     0.372
    0.113   -3.4560     0.210     0.370
    0.075   -3.4958     0.212     0.354
    0.038   -3.5289     0.208     0.356
    0.000   -3.5401     0.208     0.356
 
# Band-Index    7
    0.000   -3.4988     0.212     0.368
    0.038   -3.4940     0.212     0.368
    0.075   -3.4797     0.212     0.370
    0.113   -3.4428     0.216     0.354
    0.151   -3.3726     0.222     0.354
    0.189   -3.2885     0.228     0.352
    0.226   -3.1938     0.230     0.354
    0.264   -3.0917     0.232     0.356
    0.302   -2.9859     0.230     0.360
    0.340   -2.8799     0.226     0.366
    0.377   -2.7785     0.218     0.376
    0.415   -2.6876     0.204     0.390
    0.453   -2.6148     0.190     0.404
    0.490   -2.5684     0.176     0.418
    0.528   -2.5546     0.166     0.428
    0.566   -2.5626     0.148     0.440
    0.604   -2.4619     0.136     0.452
    0.641   -2.3644     0.126     0.464
    0.679   -2.2727     0.114     0.476
    0.717   -2.1897     0.104     0.489
    0.717   -2.1897     0.104     0.489
    0.755   -2.2363     0.116     0.475
    0.794   -2.3575     0.144     0.445
    0.832   -2.5111     0.175     0.413
    0.871   -2.6422     0.197     0.391
    0.909   -2.7130     0.202     0.388
    0.948   -2.7457     0.198     0.393
    0.987   -2.7687     0.194     0.398
    1.025   -2.7972     0.190     0.402
    1.064   -2.8421     0.188     0.404
    1.102   -2.9127     0.192     0.398
    1.141   -3.0127     0.199     0.387
    1.179   -3.1364     0.208     0.373
    1.218   -3.2717     0.215     0.360
    1.256   -3.4060     0.218     0.350
    1.295   -3.5289     0.218     0.342
    1.333   -3.6327     0.216     0.339
    1.372   -3.7114     0.214     0.335
    1.410   -3.7604     0.212     0.334
    1.449   -3.7771     0.211     0.334
    1.449   -3.7771     0.211     0.334
    1.503   -3.7693     0.212     0.334
    1.557   -3.7461     0.210     0.336
    1.611   -3.7078     0.210     0.338
    1.664   -3.6551     0.210     0.342
    1.718   -3.5889     0.210     0.346
    1.772   -3.5095     0.212     0.352
    1.826   -3.4082     0.214     0.356
    1.880   -3.2890     0.200     0.360
    1.934   -3.1786     0.188     0.368
    1.988   -3.0648     0.182     0.378
    2.042   -2.9470     0.176     0.388
    2.096   -2.8287     0.170     0.398
    2.150   -2.7137     0.164     0.410
    2.204   -2.6169     0.190     0.416
    2.258   -2.8880     0.208     0.392
    2.311   -3.1376     0.214     0.376
    2.365   -3.3379     0.216     0.368
    2.419   -3.4651     0.214     0.364
    2.473   -3.4988     0.212     0.368
 
# Band-Index    8
    2.473   -2.3130     0.144     0.460
    2.419   -2.3319     0.140     0.454
    2.365   -2.3702     0.142     0.448
    2.311   -2.4305     0.146     0.442
    2.258   -2.5104     0.152     0.432
    2.204   -2.6062     0.158     0.422
    2.150   -2.3627     0.160     0.448
    2.096   -2.1763     0.128     0.482
    2.042   -2.0928     0.116     0.496
    1.988   -2.0992     0.122     0.492
    1.934   -2.1638     0.134     0.482
    1.880   -2.2682     0.144     0.468
    1.826   -2.4102     0.156     0.452
    1.772   -2.5975     0.172     0.428
    1.718   -2.8328     0.194     0.398
    1.664   -3.0967     0.212     0.372
    1.611   -3.3554     0.220     0.352
    1.557   -3.5747     0.218     0.340
    1.503   -3.7238     0.214     0.334
    1.449   -3.7771     0.211     0.334
    1.449   -3.7771     0.211     0.334
    1.410   -3.7604     0.212     0.334
    1.372   -3.7114     0.214     0.335
    1.333   -3.6327     0.216     0.339
    1.295   -3.5289     0.218     0.342
    1.256   -3.4060     0.218     0.350
    1.218   -3.2717     0.215     0.360
    1.179   -3.1364     0.208     0.373
    1.141   -3.0127     0.199     0.387
    1.102   -2.9127     0.192     0.398
    1.064   -2.8421     0.188     0.404
    1.025   -2.7972     0.190     0.402
    0.987   -2.7687     0.194     0.398
    0.948   -2.7457     0.198     0.393
    0.909   -2.7130     0.202     0.388
    0.871   -2.6422     0.197     0.391
    0.832   -2.5111     0.175     0.413
    0.794   -2.3575     0.144     0.445
    0.755   -2.2363     0.116     0.475
    0.717   -2.1897     0.104     0.489
    0.717   -2.1897     0.104     0.489
    0.679   -2.1180     0.094     0.500
    0.641   -2.0600     0.086     0.508
    0.604   -2.0176     0.082     0.514
    0.566   -1.9913     0.080     0.518
    0.528   -1.9809     0.080     0.518
    0.490   -1.9848     0.084     0.516
    0.453   -2.0007     0.090     0.510
    0.415   -2.0260     0.096     0.506
    0.377   -2.0579     0.102     0.498
    0.340   -2.0937     0.110     0.492
    0.302   -2.1311     0.116     0.486
    0.264   -2.1682     0.124     0.480
    0.226   -2.2032     0.128     0.474
    0.189   -2.2348     0.134     0.470
    0.151   -2.2620     0.136     0.466
    0.113   -2.2839     0.140     0.462
    0.075   -2.3000     0.142     0.460
    0.038   -2.3098     0.144     0.460
    0.000   -2.3130     0.144     0.460
 
# Band-Index    9
    0.000   -2.3063     0.142     0.442
    0.038   -2.2884     0.146     0.440
    0.075   -2.2362     0.156     0.436
    0.113   -2.1539     0.170     0.430
    0.151   -2.0466     0.188     0.424
    0.189   -1.9198     0.204     0.418
    0.226   -1.7782     0.220     0.412
    0.264   -1.6257     0.234     0.406
    0.302   -1.4656     0.246     0.402
    0.340   -1.3130     0.270     0.390
    0.377   -1.3560     0.294     0.364
    0.415   -1.3908     0.322     0.334
    0.453   -1.4093     0.348     0.304
    0.490   -1.4024     0.374     0.276
    0.528   -1.3629     0.392     0.254
    0.566   -1.2892     0.400     0.240
    0.604   -1.1854     0.400     0.238
    0.641   -1.0585     0.396     0.240
    0.679   -0.9161     0.386     0.250
    0.717   -0.7661     0.373     0.267
    0.717   -0.7661     0.373     0.267
    0.755   -0.7515     0.359     0.284
    0.794   -0.7358     0.331     0.321
    0.832   -0.7725     0.313     0.346
    0.871   -0.8859     0.315     0.345
    0.909   -1.0586     0.327     0.331
    0.948   -1.2615     0.338     0.313
    0.987   -1.4721     0.349     0.297
    1.025   -1.6736     0.355     0.285
    1.064   -1.8518     0.356     0.279
    1.102   -1.9945     0.352     0.280
    1.141   -2.0957     0.340     0.290
    1.179   -2.1587     0.325     0.303
    1.218   -2.1934     0.311     0.317
    1.256   -2.2101     0.300     0.329
    1.295   -2.2166     0.292     0.337
    1.333   -2.2177     0.286     0.344
    1.372   -2.2166     0.283     0.349
    1.410   -2.2153     0.280     0.352
    1.449   -2.2147     0.280     0.352
    1.449   -2.2147     0.280     0.352
    1.503   -2.2281     0.282     0.350
    1.557   -2.2664     0.286     0.342
    1.611   -2.3244     0.294     0.330
    1.664   -2.3924     0.304     0.312
    1.718   -2.4537     0.324     0.290
    1.772   -2.4765     0.350     0.260
    1.826   -2.4031     0.378     0.236
    1.880   -2.1847     0.384     0.236
    1.934   -1.8581     0.360     0.268
    1.988   -1.5052     0.320     0.316
    2.042   -1.2119     0.266     0.382
    2.096   -1.0753     0.212     0.442
    2.150   -1.1423     0.188     0.468
    2.204   -1.3519     0.186     0.464
    2.258   -1.6168     0.184     0.454
    2.311   -1.8783     0.176     0.446
    2.365   -2.0984     0.164     0.444
    2.419   -2.2475     0.152     0.446
    2.473   -2.3063     0.142     0.442
 
# Band-Index   10
    2.473   -1.0816     0.166     0.484
    2.419   -1.0862     0.168     0.484
    2.365   -1.0995     0.176     0.478
    2.311   -1.1192     0.190     0.468
    2.258   -1.1403     0.210     0.452
    2.204   -1.1514     0.238     0.430
    2.150   -1.1310     0.272     0.402
    2.096   -1.0497     0.300     0.380
    2.042   -0.9099     0.302     0.382
    1.988   -0.7984     0.282     0.400
    1.934   -0.8433     0.284     0.394
    1.880   -1.0614     0.308     0.358
    1.826   -1.3529     0.328     0.330
    1.772   -1.6298     0.330     0.320
    1.718   -1.8473     0.320     0.324
    1.664   -1.9997     0.304     0.336
    1.611   -2.1014     0.292     0.344
    1.557   -2.1664     0.286     0.348
    1.503   -2.2029     0.282     0.352
    1.449   -2.2147     0.280     0.352
    1.449   -2.2147     0.280     0.352
    1.410   -2.2153     0.280     0.352
    1.372   -2.2166     0.283     0.349
    1.333   -2.2177     0.286     0.344
    1.295   -2.2166     0.292     0.337
    1.256   -2.2101     0.300     0.329
    1.218   -2.1934     0.311     0.317
    1.179   -2.1587     0.325     0.303
    1.141   -2.0957     0.340     0.290
    1.102   -1.9945     0.352     0.280
    1.064   -1.8518     0.356     0.279
    1.025   -1.6736     0.355     0.285
    0.987   -1.4721     0.349     0.297
    0.948   -1.2615     0.338     0.313
    0.909   -1.0586     0.327     0.331
    0.871   -0.8859     0.315     0.345
    0.832   -0.7725     0.313     0.346
    0.794   -0.7358     0.331     0.321
    0.755   -0.7515     0.359     0.284
    0.717   -0.7661     0.373     0.267
    0.717   -0.7661     0.373     0.267
    0.679   -0.6191     0.354     0.292
    0.641   -0.4930     0.328     0.330
    0.604   -0.4187     0.296     0.374
    0.566   -0.4273     0.276     0.402
    0.528   -0.5137     0.272     0.408
    0.490   -0.6461     0.272     0.404
    0.453   -0.8006     0.272     0.398
    0.415   -0.9648     0.270     0.396
    0.377   -1.1326     0.264     0.396
    0.340   -1.3004     0.256     0.398
    0.302   -1.2680     0.248     0.412
    0.264   -1.2249     0.230     0.432
    0.226   -1.1863     0.212     0.446
    0.189   -1.1534     0.198     0.460
    0.151   -1.1269     0.186     0.468
    0.113   -1.1067     0.178     0.476
    0.075   -1.0926     0.172     0.482
    0.038   -1.0843     0.168     0.484
    0.000   -1.0816     0.166     0.484
 
# Band-Index   11
    0.000    1.0624     0.430     0.032
    0.038    1.0641     0.430     0.032
    0.075    1.0693     0.428     0.032
    0.113    1.0786     0.426     0.032
    0.151    1.0927     0.422     0.034
    0.189    1.1126     0.416     0.038
    0.226    1.1394     0.410     0.040
    0.264    1.1742     0.404     0.046
    0.302    1.2178     0.396     0.052
    0.340    1.2711     0.390     0.058
    0.377    1.3344     0.382     0.066
    0.415    1.2796     0.468     0.134
    0.453    1.0530     0.472     0.126
    0.490    0.8452     0.478     0.114
    0.528    0.6694     0.484     0.104
    0.566    0.5506     0.486     0.104
