# energy s p d
-7.589300000000000601e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.569300000000001027e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.549299999999999677e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.529300000000000104e+00 2.000000000000000096e-04 0.000000000000000000e+00 0.000000000000000000e+00
-7.509300000000000530e+00 4.000000000000000192e-04 0.000000000000000000e+00 0.000000000000000000e+00
-7.489199999999999413e+00 1.199999999999999895e-03 0.000000000000000000e+00 0.000000000000000000e+00
-7.469199999999999839e+00 3.200000000000000153e-03 0.000000000000000000e+00 0.000000000000000000e+00
-7.449200000000000266e+00 7.799999999999999642e-03 0.000000000000000000e+00 0.000000000000000000e+00
-7.429200000000000692e+00 1.739999999999999880e-02 0.000000000000000000e+00 0.000000000000000000e+00
-7.409200000000001118e+00 3.620000000000000301e-02 2.000000000000000096e-04 0.000000000000000000e+00
-7.389100000000000001e+00 7.059999999999999609e-02 4.000000000000000192e-04 4.000000000000000192e-04
-7.369100000000000428e+00 1.283999999999999864e-01 7.999999999999999299e-04 6.000000000000000559e-04
-7.349100000000000854e+00 2.187999999999999945e-01 1.399999999999999986e-03 1.000000000000000021e-03
-7.329099999999999504e+00 3.503999999999999893e-01 2.000000000000000042e-03 1.799999999999999951e-03
-7.309099999999999930e+00 5.280000000000000249e-01 3.399999999999999811e-03 2.599999999999999881e-03
-7.289000000000000590e+00 7.503999999999999559e-01 4.800000000000000447e-03 3.599999999999999901e-03
-7.269000000000001016e+00 1.008199999999999985e+00 6.399999999999999439e-03 4.800000000000000447e-03
-7.248999999999999666e+00 1.283600000000000074e+00 8.399999999999999481e-03 6.199999999999999782e-03
-7.229000000000000092e+00 1.551199999999999912e+00 1.040000000000000126e-02 7.400000000000000328e-03
-7.209000000000000519e+00 1.783600000000000074e+00 1.220000000000000077e-02 8.600000000000000006e-03
-7.188899999999999402e+00 1.956399999999999917e+00 1.380000000000000150e-02 9.399999999999998634e-03
-7.168899999999999828e+00 2.053999999999999826e+00 1.499999999999999944e-02 9.799999999999999684e-03
-7.148900000000000254e+00 2.073199999999999932e+00 1.580000000000000154e-02 1.000000000000000021e-02
-7.128900000000000681e+00 2.023800000000000043e+00 1.619999999999999912e-02 9.600000000000000894e-03
-7.108900000000001107e+00 1.925200000000000022e+00 1.640000000000000138e-02 9.000000000000001055e-03
-7.088799999999999990e+00 1.802000000000000046e+00 1.640000000000000138e-02 8.399999999999999481e-03
-7.068800000000000416e+00 1.677200000000000024e+00 1.620000000000000259e-02 7.400000000000000328e-03
-7.048800000000000843e+00 1.569800000000000084e+00 1.640000000000000138e-02 7.000000000000000146e-03
-7.028799999999999493e+00 1.492599999999999927e+00 1.640000000000000138e-02 6.399999999999999439e-03
-7.008799999999999919e+00 1.452399999999999913e+00 1.660000000000000017e-02 5.799999999999999600e-03
-6.988700000000000578e+00 1.450599999999999890e+00 1.720000000000000001e-02 5.799999999999999600e-03
-6.968700000000001005e+00 1.483000000000000096e+00 1.799999999999999864e-02 5.799999999999999600e-03
-6.948699999999999655e+00 1.540799999999999947e+00 1.899999999999999953e-02 5.399999999999999419e-03
-6.928700000000000081e+00 1.610600000000000032e+00 1.980000000000000163e-02 5.799999999999999600e-03
-6.908700000000000507e+00 1.677799999999999958e+00 2.079999999999999905e-02 5.400000000000000286e-03
-6.888600000000001167e+00 1.728399999999999936e+00 2.199999999999999872e-02 5.599999999999999943e-03
-6.868599999999999817e+00 1.753800000000000026e+00 2.259999999999999856e-02 5.599999999999999943e-03
-6.848600000000000243e+00 1.751400000000000068e+00 2.300000000000000308e-02 5.400000000000000286e-03
-6.828600000000000669e+00 1.724399999999999933e+00 2.359999999999999945e-02 5.200000000000000629e-03
-6.808600000000001096e+00 1.680399999999999894e+00 2.380000000000000171e-02 5.000000000000000971e-03
-6.788499999999999979e+00 1.628200000000000092e+00 2.419999999999999929e-02 4.800000000000000447e-03
-6.768500000000000405e+00 1.575800000000000090e+00 2.439999999999999808e-02 4.599999999999999922e-03
