# energy dos
-6.988700000000000578e+00 2.456999999999999851e+00
-6.968700000000001005e+00 2.491000000000000103e+00
-6.948699999999999655e+00 2.566100000000000048e+00
-6.928700000000000081e+00 2.661700000000000177e+00
-6.908700000000000507e+00 2.754300000000000193e+00
-6.888600000000001167e+00 2.822999999999999954e+00
-6.868599999999999817e+00 2.853699999999999903e+00
-6.848600000000000243e+00 2.842400000000000038e+00
-6.828600000000000669e+00 2.794099999999999806e+00
-6.808600000000001096e+00 2.720400000000000151e+00
-6.788499999999999979e+00 2.634500000000000064e+00
-6.768500000000000405e+00 2.548299999999999788e+00
-6.748500000000000831e+00 2.470800000000000107e+00
-6.728499999999999481e+00 2.407799999999999940e+00
-6.708499999999999908e+00 2.362899999999999778e+00
-6.688400000000000567e+00 2.338999999999999968e+00
-6.668400000000000993e+00 2.339599999999999902e+00
-6.648399999999999643e+00 2.369600000000000151e+00
-6.628400000000000070e+00 2.435200000000000031e+00
-6.608400000000000496e+00 2.540799999999999947e+00
-6.588300000000001155e+00 2.686599999999999877e+00
-6.568299999999999805e+00 2.865000000000000213e+00
-6.548300000000000232e+00 3.061599999999999877e+00
-6.528300000000000658e+00 3.259100000000000108e+00
-6.508300000000001084e+00 3.442800000000000082e+00
-6.488199999999999967e+00 3.606700000000000017e+00
-6.468200000000000394e+00 3.754599999999999937e+00
-6.448200000000000820e+00 3.898099999999999898e+00
-6.428199999999999470e+00 4.049599999999999866e+00
-6.408199999999999896e+00 4.213000000000000078e+00
-6.388100000000000556e+00 4.376999999999999780e+00
-6.368100000000000982e+00 4.511300000000000310e+00
-6.348099999999999632e+00 4.571799999999999642e+00
-6.328100000000000058e+00 4.511499999999999844e+00
-6.308100000000000485e+00 4.297399999999999665e+00
-6.288000000000001144e+00 3.924100000000000144e+00
-6.267999999999999794e+00 3.420399999999999885e+00
-6.248000000000000220e+00 2.842799999999999994e+00
-6.228000000000000647e+00 2.260200000000000209e+00
-6.208000000000001073e+00 1.734699999999999909e+00
-6.187899999999999956e+00 1.307299999999999907e+00
-6.167900000000000382e+00 9.921999999999999709e-01
-6.147900000000000809e+00 7.804999999999999716e-01
-6.127899999999999459e+00 6.493999999999999773e-01
-6.107899999999999885e+00 5.729999999999999538e-01
-6.087800000000000544e+00 5.295999999999999597e-01
-6.067800000000000971e+00 5.050000000000000044e-01
-6.047800000000000509e+00 4.917000000000000259e-01
-6.027800000000000047e+00 4.862000000000000210e-01
-6.007800000000000473e+00 4.858000000000000096e-01
-5.987700000000000244e+00 4.877000000000000224e-01
-5.967700000000000671e+00 4.889999999999999902e-01
-5.947700000000000209e+00 4.879000000000000004e-01
-5.927700000000000635e+00 4.848999999999999977e-01
-5.907700000000000173e+00 4.818999999999999950e-01
-5.887599999999999945e+00 4.809999999999999831e-01
-5.867600000000000371e+00 4.833000000000000074e-01
-5.847599999999999909e+00 4.879999999999999893e-01
-5.827600000000000335e+00 4.934999999999999942e-01
-5.807599999999999874e+00 4.979000000000000092e-01
-5.787500000000000533e+00 5.004999999999999449e-01
-5.767500000000000071e+00 5.020000000000000018e-01
-5.747500000000000497e+00 5.040999999999999925e-01
-5.727500000000000036e+00 5.082999999999999741e-01
-5.707500000000000462e+00 5.155999999999999472e-01
-5.687400000000000233e+00 5.254999999999999671e-01
-5.667400000000000659e+00 5.365999999999999659e-01
-5.647400000000000198e+00 5.476999999999999647e-01
-5.627400000000000624e+00 5.584000000000000075e-01
-5.607400000000000162e+00 5.699999999999999512e-01
-5.587299999999999933e+00 5.843000000000000416e-01
-5.567300000000000360e+00 6.035000000000000364e-01
-5.547299999999999898e+00 6.289000000000000146e-01
-5.527300000000000324e+00 6.612000000000000099e-01
-5.507299999999999862e+00 7.014000000000000234e-01
-5.487200000000000522e+00 7.514999999999999458e-01
-5.467200000000000060e+00 8.131000000000000449e-01
-5.447200000000000486e+00 8.863999999999999657e-01
-5.427200000000000024e+00 9.676000000000000156e-01
-5.407200000000000450e+00 1.047199999999999909e+00
-5.387100000000000222e+00 1.110700000000000021e+00
-5.367100000000000648e+00 1.141499999999999959e+00
-5.347100000000000186e+00 1.125499999999999945e+00
-5.327100000000000612e+00 1.055800000000000072e+00
-5.307100000000000151e+00 9.361000000000000432e-01
-5.286999999999999922e+00 7.805999999999999606e-01
-5.267000000000000348e+00 6.097000000000000197e-01
-5.246999999999999886e+00 4.447999999999999732e-01
-5.227000000000000313e+00 3.023000000000000131e-01
-5.206999999999999851e+00 1.910999999999999921e-01
-5.186900000000000510e+00 1.122999999999999970e-01
-5.166900000000000048e+00 6.119999999999999746e-02
-5.146900000000000475e+00 3.090000000000000038e-02
-5.126900000000000013e+00 1.450000000000000074e-02
-5.106900000000000439e+00 6.300000000000000044e-03
-5.086800000000000210e+00 2.500000000000000052e-03
-5.066800000000000637e+00 8.999999999999999754e-04
-5.046800000000000175e+00 2.999999999999999737e-04
-5.026800000000000601e+00 1.000000000000000048e-04
-5.006800000000000139e+00 0.000000000000000000e+00
-4.986699999999999910e+00 0.000000000000000000e+00
-4.966700000000000337e+00 0.000000000000000000e+00
-4.946699999999999875e+00 1.000000000000000048e-04
-4.926700000000000301e+00 2.000000000000000096e-04
-4.906700000000000728e+00 6.999999999999999929e-04
-4.886600000000000499e+00 2.200000000000000133e-03
-4.866600000000000037e+00 5.899999999999999863e-03
-4.846600000000000463e+00 1.469999999999999953e-02
-4.826600000000000001e+00 3.389999999999999958e-02
-4.806600000000000428e+00 7.270000000000000073e-02
-4.786500000000000199e+00 1.441999999999999948e-01
-4.766500000000000625e+00 2.654000000000000248e-01
-4.746500000000000163e+00 4.529000000000000248e-01
-4.726500000000000590e+00 7.176000000000000156e-01
-4.706500000000000128e+00 1.056699999999999973e+00
-4.686399999999999899e+00 1.448499999999999899e+00
-4.666400000000000325e+00 1.851699999999999902e+00
-4.646399999999999864e+00 2.213299999999999823e+00
-4.626400000000000290e+00 2.481899999999999995e+00
-4.606400000000000716e+00 2.622700000000000031e+00
-4.586300000000000487e+00 2.627899999999999903e+00
-4.566300000000000026e+00 2.517300000000000093e+00
-4.546300000000000452e+00 2.329899999999999860e+00
-4.526299999999999990e+00 2.110599999999999810e+00
-4.506300000000000416e+00 1.897399999999999975e+00
-4.486200000000000188e+00 1.713500000000000023e+00
-4.466200000000000614e+00 1.566000000000000059e+00
-4.446200000000000152e+00 1.450599999999999890e+00
-4.426200000000000578e+00 1.357399999999999940e+00
-4.406200000000000117e+00 1.276899999999999924e+00
-4.386099999999999888e+00 1.203000000000000069e+00
-4.366100000000000314e+00 1.134100000000000108e+00
-4.346099999999999852e+00 1.072100000000000053e+00
-4.326100000000000279e+00 1.021200000000000108e+00
-4.306100000000000705e+00 9.857000000000000206e-01
-4.286000000000000476e+00 9.678999999999999826e-01
-4.266000000000000014e+00 9.656000000000000139e-01
-4.246000000000000441e+00 9.721999999999999531e-01
-4.225999999999999979e+00 9.781999999999999584e-01
-4.206000000000000405e+00 9.748999999999999888e-01
-4.185900000000000176e+00 9.576999999999999957e-01
-4.165900000000000603e+00 9.282000000000000250e-01
-4.145900000000000141e+00 8.915999999999999481e-01
-4.125900000000000567e+00 8.544000000000000483e-01
-4.105900000000000105e+00 8.205999999999999961e-01
-4.085799999999999876e+00 7.915999999999999703e-01
-4.065800000000000303e+00 7.671000000000000041e-01
-4.045800000000000729e+00 7.480999999999999872e-01
-4.025800000000000267e+00 7.377000000000000224e-01
-4.005800000000000693e+00 7.399000000000000021e-01
-3.985700000000000465e+00 7.572999999999999732e-01
-3.965700000000000003e+00 7.873999999999999888e-01
-3.945700000000000429e+00 8.217999999999999750e-01
-3.925699999999999967e+00 8.477000000000000091e-01
-3.905700000000000394e+00 8.531999999999999584e-01
-3.885600000000000165e+00 8.325000000000000178e-01
-3.865600000000000591e+00 7.893999999999999906e-01
-3.845600000000000129e+00 7.359999999999999876e-01
-3.825600000000000556e+00 6.882000000000000339e-01
-3.805600000000000094e+00 6.589000000000000412e-01
-3.785499999999999865e+00 6.522000000000000020e-01
-3.765500000000000291e+00 6.629000000000000448e-01
-3.745500000000000718e+00 6.798999999999999488e-01
-3.725500000000000256e+00 6.927999999999999714e-01
-3.705500000000000682e+00 6.983000000000000318e-01
-3.685400000000000453e+00 7.023000000000000353e-01
-3.665399999999999991e+00 7.183000000000000496e-01
-3.645400000000000418e+00 7.625999999999999446e-01
-3.625399999999999956e+00 8.500999999999999668e-01
-3.605400000000000382e+00 9.919999999999999929e-01
-3.585300000000000153e+00 1.196099999999999941e+00
-3.565300000000000580e+00 1.465999999999999970e+00
-3.545300000000000118e+00 1.799600000000000088e+00
-3.525300000000000544e+00 2.185900000000000176e+00
-3.505300000000000082e+00 2.603200000000000180e+00
-3.485199999999999854e+00 3.022499999999999964e+00
-3.465200000000000280e+00 3.415099999999999802e+00
-3.445200000000000706e+00 3.761899999999999800e+00
-3.425200000000000244e+00 4.056400000000000006e+00
-3.405200000000000671e+00 4.300799999999999734e+00
-3.385100000000000442e+00 4.495599999999999596e+00
-3.365099999999999980e+00 4.632299999999999862e+00
-3.345100000000000406e+00 4.693900000000000183e+00
-3.325099999999999945e+00 4.664500000000000313e+00
-3.305100000000000371e+00 4.543300000000000338e+00
-3.285000000000000142e+00 4.352500000000000036e+00
-3.265000000000000568e+00 4.135900000000000354e+00
-3.245000000000000107e+00 3.948100000000000165e+00
-3.225000000000000533e+00 3.838799999999999990e+00
-3.205000000000000071e+00 3.838999999999999968e+00
-3.184900000000000730e+00 3.952900000000000080e+00
-3.164900000000000269e+00 4.156699999999999839e+00
-3.144900000000000695e+00 4.405199999999999783e+00
-3.124900000000000233e+00 4.642900000000000027e+00
-3.104900000000000659e+00 4.817899999999999849e+00
-3.084800000000000431e+00 4.894800000000000040e+00
-3.064799999999999969e+00 4.861399999999999721e+00
-3.044800000000000395e+00 4.729000000000000092e+00
-3.024799999999999933e+00 4.525100000000000122e+00
-3.004800000000000360e+00 4.283000000000000362e+00
-2.984700000000000131e+00 4.031699999999999839e+00
-2.964700000000000557e+00 3.789800000000000058e+00
-2.944700000000000095e+00 3.564499999999999780e+00
-2.924700000000000522e+00 3.354699999999999793e+00
-2.904700000000000060e+00 3.157000000000000028e+00
-2.884600000000000719e+00 2.970400000000000151e+00
-2.864600000000000257e+00 2.800100000000000033e+00
-2.844600000000000684e+00 2.657099999999999795e+00
-2.824600000000000222e+00 2.555000000000000160e+00
-2.804600000000000648e+00 2.504300000000000193e+00
-2.784500000000000419e+00 2.505900000000000016e+00
-2.764499999999999957e+00 2.548399999999999999e+00
-2.744500000000000384e+00 2.610500000000000043e+00
-2.724499999999999922e+00 2.667499999999999982e+00
-2.704500000000000348e+00 2.701099999999999834e+00
-2.684400000000000119e+00 2.705799999999999983e+00
-2.664400000000000546e+00 2.691100000000000048e+00
-2.644400000000000084e+00 2.676899999999999835e+00
-2.624400000000000510e+00 2.687199999999999811e+00
-2.604400000000000048e+00 2.743599999999999817e+00
-2.584300000000000708e+00 2.860599999999999810e+00
-2.564300000000000246e+00 3.044599999999999973e+00
-2.544300000000000672e+00 3.291399999999999881e+00
-2.524300000000000210e+00 3.584900000000000198e+00
-2.504300000000000637e+00 3.895999999999999908e+00
-2.484200000000000408e+00 4.185200000000000031e+00
-2.464199999999999946e+00 4.410499999999999865e+00
-2.444200000000000372e+00 4.538299999999999557e+00
-2.424199999999999910e+00 4.553300000000000125e+00
-2.404200000000000337e+00 4.462900000000000311e+00
-2.384100000000000108e+00 4.292300000000000004e+00
-2.364100000000000534e+00 4.075499999999999901e+00
-2.344100000000000072e+00 3.844800000000000217e+00
-2.324100000000000499e+00 3.625000000000000000e+00
-2.304100000000000037e+00 3.431799999999999962e+00
-2.284000000000000696e+00 3.273299999999999876e+00
-2.264000000000000234e+00 3.151100000000000012e+00
-2.244000000000000661e+00 3.061300000000000132e+00
-2.224000000000000199e+00 2.994400000000000173e+00
-2.204000000000000625e+00 2.936799999999999855e+00
-2.183900000000000396e+00 2.874600000000000044e+00
-2.163899999999999935e+00 2.798500000000000210e+00
-2.143900000000000361e+00 2.707199999999999829e+00
-2.123899999999999899e+00 2.608400000000000052e+00
-2.103900000000000325e+00 2.517100000000000115e+00
-2.083800000000000097e+00 2.452100000000000168e+00
-2.063800000000000523e+00 2.432199999999999918e+00
-2.043800000000000061e+00 2.473700000000000010e+00
-2.023800000000000487e+00 2.588999999999999968e+00
-2.003800000000000026e+00 2.786399999999999988e+00
-1.983700000000000019e+00 3.070600000000000218e+00
-1.963700000000000001e+00 3.443700000000000205e+00
-1.943699999999999983e+00 3.906400000000000095e+00
-1.923699999999999966e+00 4.458300000000000374e+00
-1.903699999999999948e+00 5.094500000000000028e+00
-1.883600000000000163e+00 5.799100000000000144e+00
-1.863600000000000145e+00 6.536299999999999777e+00
-1.843600000000000128e+00 7.245300000000000296e+00
-1.823600000000000110e+00 7.843399999999999928e+00
-1.803600000000000092e+00 8.241899999999999338e+00
-1.783499999999999863e+00 8.371299999999999741e+00
-1.763499999999999845e+00 8.205399999999999139e+00
-1.743500000000000272e+00 7.772199999999999775e+00
-1.723500000000000254e+00 7.147000000000000242e+00
-1.703500000000000236e+00 6.428700000000000081e+00
-1.683400000000000007e+00 5.710799999999999876e+00
-1.663399999999999990e+00 5.058900000000000396e+00
-1.643399999999999972e+00 4.501699999999999591e+00
-1.623399999999999954e+00 4.035000000000000142e+00
-1.603399999999999936e+00 3.635200000000000209e+00
-1.583300000000000152e+00 3.274999999999999911e+00
-1.563300000000000134e+00 2.935599999999999987e+00
-1.543300000000000116e+00 2.613199999999999967e+00
-1.523300000000000098e+00 2.316199999999999815e+00
-1.503300000000000081e+00 2.057399999999999896e+00
-1.483199999999999852e+00 1.844000000000000083e+00
-1.463200000000000278e+00 1.672099999999999920e+00
-1.443200000000000260e+00 1.527400000000000091e+00
-1.423200000000000243e+00 1.392500000000000071e+00
-1.403200000000000225e+00 1.255800000000000027e+00
-1.383099999999999996e+00 1.116999999999999993e+00
-1.363099999999999978e+00 9.874000000000000554e-01
-1.343099999999999961e+00 8.839000000000000190e-01
-1.323099999999999943e+00 8.215999999999999970e-01
-1.303099999999999925e+00 8.066999999999999726e-01
-1.283000000000000140e+00 8.334000000000000297e-01
-1.263000000000000123e+00 8.848000000000000309e-01
-1.243000000000000105e+00 9.388999999999999568e-01
-1.223000000000000087e+00 9.758000000000000007e-01
-1.203000000000000069e+00 9.848000000000000087e-01
-1.182900000000000285e+00 9.686000000000000165e-01
-1.162900000000000267e+00 9.419999999999999485e-01
-1.142900000000000249e+00 9.260000000000000453e-01
-1.122900000000000231e+00 9.402000000000000357e-01
-1.102900000000000214e+00 9.957000000000000295e-01
-1.082799999999999985e+00 1.092999999999999972e+00
-1.062799999999999967e+00 1.223799999999999999e+00
-1.042799999999999949e+00 1.375199999999999978e+00
-1.022799999999999931e+00 1.534499999999999975e+00
-1.002799999999999914e+00 1.691000000000000059e+00
-9.827000000000001290e-01 1.836600000000000010e+00
-9.627000000000001112e-01 1.964499999999999913e+00
-9.427000000000000934e-01 2.069799999999999862e+00
-9.227000000000000757e-01 2.149999999999999911e+00
-9.027000000000000579e-01 2.207199999999999829e+00
-8.826000000000002732e-01 2.249299999999999855e+00
-8.626000000000002554e-01 2.290299999999999780e+00
-8.426000000000002377e-01 2.349200000000000177e+00
-8.226000000000002199e-01 2.446800000000000086e+00
-8.026000000000002021e-01 2.600800000000000001e+00
-7.824999999999999734e-01 2.819100000000000161e+00
-7.624999999999999556e-01 3.092799999999999994e+00
-7.424999999999999378e-01 3.393100000000000005e+00
-7.224999999999999201e-01 3.672600000000000087e+00
-7.024999999999999023e-01 3.874200000000000088e+00
-6.824000000000001176e-01 3.945600000000000218e+00
-6.624000000000000998e-01 3.854499999999999815e+00
-6.424000000000000821e-01 3.600699999999999790e+00
-6.224000000000000643e-01 3.218500000000000139e+00
-6.024000000000000465e-01 2.768400000000000194e+00
-5.823000000000002618e-01 2.321000000000000174e+00
-5.623000000000002441e-01 1.937999999999999945e+00
-5.423000000000002263e-01 1.659299999999999997e+00
-5.223000000000002085e-01 1.497800000000000020e+00
-5.023000000000001908e-01 1.445599999999999996e+00
-4.821999999999999620e-01 1.483800000000000008e+00
-4.621999999999999442e-01 1.592300000000000049e+00
-4.421999999999999265e-01 1.753500000000000059e+00
-4.221999999999999087e-01 1.949799999999999978e+00
-4.021999999999998909e-01 2.157000000000000028e+00
-3.821000000000001062e-01 2.341600000000000126e+00
-3.621000000000000885e-01 2.463600000000000012e+00
-3.421000000000000707e-01 2.487600000000000033e+00
-3.221000000000000529e-01 2.395900000000000141e+00
-3.021000000000000352e-01 2.195800000000000196e+00
-2.820000000000002505e-01 1.918800000000000061e+00
-2.620000000000002327e-01 1.609499999999999931e+00
-2.420000000000002149e-01 1.311500000000000110e+00
-2.220000000000001972e-01 1.056400000000000006e+00
-2.020000000000001794e-01 8.596000000000000307e-01
-1.818999999999999506e-01 7.229999999999999760e-01
-1.618999999999999329e-01 6.403999999999999693e-01
-1.418999999999999151e-01 6.020999999999999686e-01
-1.218999999999998973e-01 5.969999999999999751e-01
-1.018999999999998796e-01 6.131999999999999673e-01
-8.180000000000009486e-02 6.380000000000000115e-01
-6.180000000000007709e-02 6.585999999999999632e-01
