# energy s p d
-2.624400000000000510e+00 1.119999999999999989e-02 1.000599999999999934e+00 6.199999999999999782e-03
-2.604400000000000048e+00 1.119999999999999989e-02 1.028000000000000025e+00 6.599999999999999097e-03
-2.584300000000000708e+00 1.119999999999999989e-02 1.078199999999999825e+00 6.599999999999999964e-03
-2.564300000000000246e+00 1.159999999999999920e-02 1.154399999999999871e+00 7.199999999999999803e-03
-2.544300000000000672e+00 1.239999999999999956e-02 1.254399999999999959e+00 7.599999999999999985e-03
-2.524300000000000210e+00 1.340000000000000045e-02 1.372400000000000064e+00 8.199999999999998956e-03
-2.504300000000000637e+00 1.460000000000000013e-02 1.496599999999999930e+00 8.800000000000000530e-03
-2.484200000000000408e+00 1.600000000000000033e-02 1.612200000000000077e+00 9.600000000000000894e-03
-2.464199999999999946e+00 1.739999999999999880e-02 1.702800000000000091e+00 1.000000000000000021e-02
-2.444200000000000372e+00 1.859999999999999848e-02 1.755400000000000071e+00 1.019999999999999900e-02
-2.424199999999999910e+00 1.980000000000000163e-02 1.764200000000000212e+00 1.000000000000000021e-02
-2.404200000000000337e+00 2.040000000000000147e-02 1.731999999999999984e+00 1.000000000000000021e-02
-2.384100000000000108e+00 2.079999999999999905e-02 1.668200000000000127e+00 9.600000000000000894e-03
-2.364100000000000534e+00 2.079999999999999905e-02 1.586799999999999988e+00 8.999999999999999320e-03
