#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.52822    -12.855046  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.49049    -12.832649  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   0.45276    -12.815025  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.41503    -12.801812  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.37730    -12.792529  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.33957    -12.786614  0.706  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.30184    -12.783455  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.706
   0.26411    -12.782422  0.704  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.704
   0.22638    -12.782907  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   0.18865    -12.784351  0.702  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.702
   0.15092    -12.786252  0.700  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.11319    -12.788186  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.700
   0.07546    -12.789814  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   0.03773    -12.790888  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
   0.00000    -12.791264  0.698  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.698
 
# Band-Index    3
   0.00000     -6.725505  0.040  0.000  0.052  0.008  0.000  0.000  0.006  0.000  0.000  0.106
   0.03773     -6.736689  0.038  0.000  0.052  0.008  0.000  0.000  0.006  0.000  0.000  0.106
   0.07546     -6.769440  0.038  0.000  0.050  0.012  0.000  0.000  0.006  0.000  0.000  0.106
   0.11319     -6.821504  0.034  0.000  0.048  0.016  0.000  0.000  0.006  0.000  0.000  0.106
   0.15092     -6.889567  0.030  0.000  0.046  0.024  0.000  0.000  0.006  0.000  0.000  0.106
   0.18865     -6.969731  0.026  0.000  0.044  0.030  0.000  0.000  0.006  0.000  0.000  0.106
   0.22638     -7.057935  0.022  0.000  0.042  0.036  0.000  0.000  0.004  0.000  0.000  0.106
   0.26411     -7.150237  0.018  0.000  0.040  0.042  0.000  0.000  0.004  0.000  0.000  0.104
