#   Theta  Young's-Modulus  Shear-Modulus    Poisson's-Ratio
#   You can plot in 2d polar coordinates 
  164.500      6.7796            4.3221           0.8310
  165.000      6.6662            4.5181           0.8338
  165.500      6.5586            4.7283           0.8365
  166.000      6.4567            4.9538           0.8391
  166.500      6.3602            5.1958           0.8415
  167.000      6.2688            5.4557           0.8437
  167.500      6.1824            5.7348           0.8459
  168.000      6.1007            6.0346           0.8479
  168.500      6.0236            6.3567           0.8499
  169.000      5.9508            6.7025           0.8517
  169.500      5.8823            7.0737           0.8534
  170.000      5.8179            7.4717           0.8550
  170.500      5.7574            7.8980           0.8565
  171.000      5.7007            8.3537           0.8579
  171.500      5.6477            8.8400           0.8592
  172.000      5.5983            9.3571           0.8605
  172.500      5.5524            9.9050           0.8616
  173.000      5.5098           10.4829           0.8627
  173.500      5.4705           11.0886           0.8636
  174.000      5.4345           11.7190           0.8645
  174.500      5.4016           12.3692           0.8654
  175.000      5.3717           13.0323           0.8661
  175.500      5.3449           13.6995           0.8668
  176.000      5.3210           14.3597           0.8674
  176.500      5.3001           14.9996           0.8679
  177.000      5.2820           15.6040           0.8683
  177.500      5.2668           16.1562           0.8687
  178.000      5.2544           16.6389           0.8690
  178.500      5.2447           17.0354           0.8693
  179.000      5.2378           17.3308           0.8694
  179.500      5.2337           17.5131           0.8695
  180.000      5.2324           17.5748           0.8696
  180.500      5.2337           17.5131           0.8695
  181.000      5.2378           17.3308           0.8694
  181.500      5.2447           17.0354           0.8693
  182.000      5.2544           16.6389           0.8690
  182.500      5.2668           16.1562           0.8687
  183.000      5.2820           15.6040           0.8683
  183.500      5.3001           14.9996           0.8679
  184.000      5.3210           14.3597           0.8674
  184.500      5.3449           13.6995           0.8668
  185.000      5.3717           13.0323           0.8661
  185.500      5.4016           12.3692           0.8654
  186.000      5.4345           11.7190           0.8645
  186.500      5.4705           11.0886           0.8636
  187.000      5.5098           10.4829           0.8627
  187.500      5.5524            9.9050           0.8616
  188.000      5.5983            9.3571           0.8605
  188.500      5.6477            8.8400           0.8592
  189.000      5.7007            8.3537           0.8579
  189.500      5.7574            7.8980           0.8565
  190.000      5.8179            7.4717           0.8550
  190.500      5.8823            7.0737           0.8534
  191.000      5.9508            6.7025           0.8517
  191.500      6.0236            6.3567           0.8499
  192.000      6.1007            6.0346           0.8479
  192.500      6.1824            5.7348           0.8459
  193.000      6.2688            5.4557           0.8437
  193.500      6.3602            5.1958           0.8415
  194.000      6.4567            4.9538           0.8391
  194.500      6.5586            4.7283           0.8365
  195.000      6.6662            4.5181           0.8338
  195.500      6.7796            4.3221           0.8310
  196.000      6.8992            4.1391           0.8280
  196.500      7.0253            3.9682           0.8249
  197.000      7.1581            3.8085           0.8216
  197.500      7.2981            3.6592           0.8181
  198.000      7.4455            3.5194           0.8144
  198.500      7.6008            3.3885           0.8105
  199.000      7.7644            3.2658           0.8065
  199.500      7.9367            3.1507           0.8022
  200.000      8.1182            3.0427           0.7976
  200.500      8.3094            2.9412           0.7929
  201.000      8.5109            2.8459           0.7879
  201.500      8.7231            2.7562           0.7826
  202.000      8.9468            2.6718           0.7770
  202.500      9.1825            2.5923           0.7711
  203.000      9.4309            2.5174           0.7649
  203.500      9.6929            2.4468           0.7584
  204.000      9.9692            2.3802           0.7515
  204.500     10.2605            2.3173           0.7442
  205.000     10.5679            2.2580           0.7366
  205.500     10.8921            2.2020           0.7285
  206.000     11.2343            2.1491           0.7200
  206.500     11.5953            2.0990           0.7110
  207.000     11.9764            2.0518           0.7015
  207.500     12.3787            2.0071           0.6915
  208.000     12.8033            1.9648           0.6809
  208.500     13.2515            1.9248           0.6697
  209.000     13.7245            1.8871           0.6579
  209.500     14.2237            1.8513           0.6455
  210.000     14.7502            1.8175           0.6323
  210.500     15.3056            1.7856           0.6185
  211.000     15.8909            1.7554           0.6039
  211.500     16.5076            1.7269           0.5885
  212.000     17.1567            1.7000           0.5724
  212.500     17.8393            1.6746           0.5553
  213.000     18.5562            1.6507           0.5375
  213.500     19.3082            1.6281           0.5187
  214.000     20.0955            1.6069           0.4991
  214.500     20.9182            1.5869           0.4786
  215.000     21.7758            1.5682           0.4572
  215.500     22.6672            1.5506           0.4350
  216.000     23.5907            1.5342           0.4120
  216.500     24.5438            1.5188           0.3882
  217.000     25.5228            1.5045           0.3638
  217.500     26.5234            1.4913           0.3389
  218.000     27.5396            1.4790           0.3136
  218.500     28.5645            1.4677           0.2880
  219.000     29.5896            1.4573           0.2625
  219.500     30.6050            1.4479           0.2371
  220.000     31.5996            1.4393           0.2124
  220.500     32.5609            1.4316           0.1884
  221.000     33.4754            1.4247           0.1656
  221.500     34.3289            1.4187           0.1443
  222.000     35.1069            1.4136           0.1249
  222.500     35.7950            1.4092           0.1078
  223.000     36.3796            1.4056           0.0932
  223.500     36.8484            1.4029           0.0815
  224.000     37.1912            1.4009           0.0730
  224.500     37.4001            1.3997           0.0678
  225.000     37.4703            1.3993           0.0660
  225.500     37.4001            1.3997           0.0678
  226.000     37.1912            1.4009           0.0730
  226.500     36.8484            1.4029           0.0815
  227.000     36.3796            1.4056           0.0932
  227.500     35.7950            1.4092           0.1078
  228.000     35.1069            1.4136           0.1249
  228.500     34.3289            1.4187           0.1443
  229.000     33.4754            1.4247           0.1656
  229.500     32.5609            1.4316           0.1884
  230.000     31.5996            1.4393           0.2124
  230.500     30.6050            1.4479           0.2371
  231.000     29.5896            1.4573           0.2625
  231.500     28.5645            1.4677           0.2880
  232.000     27.5396            1.4790           0.3136
  232.500     26.5234            1.4913           0.3389
  233.000     25.5228            1.5045           0.3638
  233.500     24.5438            1.5188           0.3882
  234.000     23.5907            1.5342           0.4120
  234.500     22.6672            1.5506           0.4350
  235.000     21.7758            1.5682           0.4572
  235.500     20.9182            1.5869           0.4786
  236.000     20.0955            1.6069           0.4991
  236.500     19.3082            1.6281           0.5187
  237.000     18.5562            1.6507           0.5375
  237.500     17.8393            1.6746           0.5553
  238.000     17.1567            1.7000           0.5724
  238.500     16.5076            1.7269           0.5885
  239.000     15.8909            1.7554           0.6039
  239.500     15.3056            1.7856           0.6185
  240.000     14.7502            1.8175           0.6323
  240.500     14.2237            1.8513           0.6455
  241.000     13.7245            1.8871           0.6579
  241.500     13.2515            1.9248           0.6697
  242.000     12.8033            1.9648           0.6809
  242.500     12.3787            2.0071           0.6915
  243.000     11.9764            2.0518           0.7015
  243.500     11.5953            2.0990           0.7110
  244.000     11.2343            2.1491           0.7200
  244.500     10.8921            2.2020           0.7285
  245.000     10.5679            2.2580           0.7366
  245.500     10.2605            2.3173           0.7442
  246.000      9.9692            2.3802           0.7515
  246.500      9.6929            2.4468           0.7584
  247.000      9.4309            2.5174           0.7649
  247.500      9.1825            2.5923           0.7711
  248.000      8.9468            2.6718           0.7770
  248.500      8.7231            2.7562           0.7826
  249.000      8.5109            2.8459           0.7879
  249.500      8.3094            2.9412           0.7929
  250.000      8.1182            3.0427           0.7976
  250.500      7.9367            3.1507           0.8022
  251.000      7.7644            3.2658           0.8065
  251.500      7.6008            3.3885           0.8105
  252.000      7.4455            3.5194           0.8144
  252.500      7.2981            3.6592           0.8181
  253.000      7.1581            3.8085           0.8216
  253.500      7.0253            3.9682           0.8249
  254.000      6.8992            4.1391           0.8280
  254.500      6.7796            4.3221           0.8310
  255.000      6.6662            4.5181           0.8338
  255.500      6.5586            4.7283           0.8365
  256.000      6.4567            4.9538           0.8391
  256.500      6.3602            5.1958           0.8415
  257.000      6.2688            5.4557           0.8437
  257.500      6.1824            5.7348           0.8459
  258.000      6.1007            6.0346           0.8479
  258.500      6.0236            6.3567           0.8499
  259.000      5.9508            6.7025           0.8517
  259.500      5.8823            7.0737           0.8534
  260.000      5.8179            7.4717           0.8550
  260.500      5.7574            7.8980           0.8565
  261.000      5.7007            8.3537           0.8579
  261.500      5.6477            8.8400           0.8592
  262.000      5.5983            9.3571           0.8605
  262.500      5.5524            9.9050           0.8616
  263.000      5.5098           10.4829           0.8627
  263.500      5.4705           11.0886           0.8636
  264.000      5.4345           11.7190           0.8645
  264.500      5.4016           12.3692           0.8654
  265.000      5.3717           13.0323           0.8661
  265.500      5.3449           13.6995           0.8668
  266.000      5.3210           14.3597           0.8674
  266.500      5.3001           14.9996           0.8679
  267.000      5.2820           15.6040           0.8683
  267.500      5.2668           16.1562           0.8687
  268.000      5.2544           16.6389           0.8690
  268.500      5.2447           17.0354           0.8693
  269.000      5.2378           17.3308           0.8694
  269.500      5.2337           17.5131           0.8695
  270.000      5.2324           17.5748           0.8696
  270.500      5.2337           17.5131           0.8695
